word,normal
santay,santai
makananya,makanannya
kalo,kalau
bakal,akan
kopinyaa,kopinya
bgt,banget
trs,terus
nyaa,nya
jg,juga
pokonya,pokoknya
kak,kakak
ka,kakak
cozyyy,cozy
nongkii,nongki
ramahh,ramah
tmpat,tempat
apalg,apalagi
skrg,sekarang
dlu,dulu
jugaa,juga
makasi,terima kasih
cafe,kafe
fav,favorit
musolanya,musholanya
yaaa,ya
bangetttt,banget
ramah,ramah
terimakasihh,terima kasih
enaakkk,enak
nyooo,nya
mksih,terima kasih
recomended,recommended
nasgor,nasi goreng
sihhh,sih
juaraaaa,juara
yg,yang
bgs,bagus
top of mind,pilihan utama
ekspek,expect
mangstab,mantap
pelayanannyaa,pelayanannya
patiukir,dipatiukur
mantapp,mantap
coffe,coffee
poko,pokok
sm,sama
rekomen,rekomendasi
gue,saya
sihh,sih
samaa,sama
terbaikkkk,terbaik
pokoknyaaaaa,pokoknya
antii,anti
gakan,nggak akan
bgtt,banget
top markotop,luar biasa
nongki,nongkrong
cappucino,cappuccino
pwolllllll,banget
sumpahh,sumpah
enakk bgttt,enak banget
remonded,direkomendasikan
bangettt,banget
comfy,nyaman
nongki2,nongkrong
ngupi,minum kopi
ga,nggak
ngecewain,mengecewakan
poko,pokoknya
harganyaaa,harganya
dikantonggg,dikantong
karna,karena
pko,pokoknya
staffnya,stafnya
ramahhh,ramah
makanannya,makanan
minumannya,minuman
bgttt,banget
baguss,bagus
pelayanann,pelayanan
wfc,work from cafe
rame,ramai
sblm,sebelum
bngt,banget
markotop,luar biasa
overoll,overall
gercep,gerak cepat
maknannya,makanannya
jga,juga
mya,nya
cma,cuma
krn,karena
nyamanaya,nyamannya
ato,atau
gais,guys
cofe,coffee
ozan,pelayan
tempatt,tempat
superrr,super
bangett,banget
tiapp,tiap
bosen,boasan
kesinii,kesini
namnya,namanya
mas mas,mas
photobox,photo box
plokonyamah,pokoknya
eskosu,es kopi susu
kakk,kak
cwo,cowok
kaya,seperti
keasinan,terlalu asin
verry,very
pisan,banget
byat,buat
lagiiii,lagi
sii,sih
baik,baik-baik
bestttt,best
keliatan,kelihatan
ruame,rame
tp,tapi
gatau,gak tahu
bagusss,bagus
waiters,waiter
ganteng gateng,ganteng-ganteng
