review,translated_review,clean_text,sentiment
"Tempatnya sejuk sambil ngopi santay sama bestie, makananya enak enak🫰","Tempatnya sejuk sambil ngopi santay sama bestie, makananya enak enak🫰",tempat sejuk ngopi santay bestie makananya enak enak,Positive
Makanan dan minuman nya enak banget di tambah dengan ambience nya juara!,Makanan dan minumannya enak banget di tambah dengan suasananya juara!,makan minum enak banget suasana juara,Positive
"Tempatnya enak, recommend outdoor kalo ga hujan. Adem suasananya, makanannya lumayan enak. Kalo buat nongkrong bakal lupa waktu, colokan juga ada🔥💯🔥💯🔥💯🔥💯🔥💯","Tempatnya enak, recomended outdoor kalo ga hujan. Suasananya adem, makanannya lumayan enak. Kalau buat nongkrong bakal lupa waktu, colokan juga ada🔥💯🔥💯🔥💯🔥💯🔥💯",tempat enak recomended outdoor kalo hujan suasana adem makan lumayan enak nongkrong lupa colok,Positive
kopinyaa enak bgt creamy trs croissant nyaa jg enak bgt!! Mas masnya jg ramah pelayanan bintang 5 pokonya!! Thanks kak daniel!!,kopinyaa enak bgt creamy trs croissant nyaa jg enak bgt!! Mas masnya jg ramah pelayanan bintang 5 pokonya!! Terima kasih kak daniel!!,kopinyaa enak banget creamy croissant nya enak banget mas mas ramah layan bintang pokok terima kasih kak daniel,Positive
"tempatnya enak untuk nugas, pegawainya ramah semua, kopi susu deunya juga enak cocok untuk aku yang suka kopi creamy, terima kasih untuk ka daniel","tempatnya enak untuk nugas, pegawainya ramah semua, kopi susu deunya juga enak cocok untuk aku yang suka kopi creamy, terima kasih untuk ka daniel",tempat enak nugas pegawai ramah kopi susu deunya enak cocok suka kopi creamy terima kasih kak daniel,Positive
"tempatnya cozyyy buat nongkii, mas2nya ramahh, terimakasih ka daniel","tempatnya nyaman buat nongkii, mas2nya ramahh, terima kasih ka daniel",tempat nyaman nongkii mas nya ramahh terima kasih kak daniel,Positive
"Suasana nya enak,makanan nya enak","Suasananya enak, makanannya enak",suasana enak makan enak,Positive
"Tmpat nongkrong enak, apalg skrg udah ga serame dlu. Rasa kopi jg decent","Tmpat nongkrong enak, apalg skrg udah ga serame dlu. Rasa kopinya jg lumayan",tmpat nongkrong enak serame kopi lumayan,Positive
Enak tempatnya dan pelayanan nya jugaa oke! Makasi ka daniel service nya keren!,Enak tempatnya dan pelayanannya jugaa oke! Makasi ka daniel servicenya keren!,enak tempat layan oke terima kasih kak daniel servicenya keren,Positive
"Salah satu cafe dengan makanan terenak di Bandung. Fav aku kopi susu strawberry no sugar dan nasi goreng seafood no kecap. Ada musolanya, toilet nya bersih. Ada ruangan ber ac yang no smoking room. Cuman harganya lumayan pricy ya","Salah satu kafe dengan makanan terenak di Bandung. Fav aku kopi susu strawberry no sugar dan nasi goreng seafood no kecap. Ada musolanya, toiletnya bersih. Ada ruangan ber ac yang dilarang merokok. Cuma harganya lumayan pricy ya",salah kafe makan enak bandung favorit kopi susu strawberry no sugar nasi goreng seafood no kecap musolanya toilet bersih ruang ber ac larang rokok harga lumayan pricy ya,Positive
terimakasih ya ka daniel sudah sangat ramah kepada saya. saya sangat puas sekali bisa datang ke tempat ini wowwww. kesini yaaa,terima kasih ya ka daniel sudah sangat ramah kepada saya. saya sangat puas sekali bisa datang ke tempat ini wowwww. kesini yaaa,terima kasih ya kak daniel ramah puas wow kesini ya,Positive
azzam baik banget manis juga,azzam juga baik banget manis,azzam banget manis,Positive
"Kopi enak dan tempat nya nyaman, pelayanan ramah (Daniel)","Kopi enak dan tempatnya nyaman, pelayanan ramah (Daniel)",kopi enak tempat nyaman layan ramah daniel,Positive
enak semua mas reynaldi bagus bgt,enak semua mas reynaldi bagus bgt,enak mas reynaldi bagus banget,Positive
"Sering bangetttt kesini pelayanannnya juga ramah"" apalagi kak ozan terimakasihh","Sering bangetttt kesini pelayanannya juga ramah"" apalagi kak ozan terimakasihh",banget kesini layan ramah kak ozan terimakasihh,Positive
"Enaakkk es kopi susu nyaaa, pelayanannya juga oke suka dibukain pintu juga wkwk maksih ka ojan for the service☺️","Enaakkk es kopi susu nyaaa, pelayanannya juga oke suka dibukain pintu juga wkwk maksih ka ojan for the service☺️",enaakkk es kopi susu nya layan oke suka dibukain pintu wkwk terima kasih kak ojan for the service,Positive
keren,keren,keren,Positive
"Nikmat Kopi nya, Suasana nya bgs","Nikmat Kopinya, Suasananya bgs",nikmat kopi suasana bagus,Positive
